epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,model,seed
1,0.7365496438064855,0.532967032967033,0.6943883574925936,0.2692307692307692,0.0009999383162408303,tiny_cnn,13
2,0.6451379148078052,0.6318681318681318,0.666847472007458,0.41025641025641024,0.0009997532801828658,tiny_cnn,13
3,0.5890673604203668,0.6208791208791209,0.6331840509023422,0.47435897435897434,0.0009994449374809851,tiny_cnn,13
4,0.5822850308575473,0.7032967032967034,0.5853367432569846,0.6794871794871795,0.0009990133642141358,tiny_cnn,13
5,0.5505068859992883,0.7271062271062271,0.5619781590425051,0.6794871794871795,0.000998458666866564,tiny_cnn,13
6,0.5471815442864275,0.7197802197802198,0.5155272109386249,0.7307692307692307,0.00099778098230154,tiny_cnn,13
7,0.5355030210900219,0.7106227106227107,0.49976857426839,0.8076923076923077,0.0009969804777275899,tiny_cnn,13
8,0.5089626943235432,0.7893772893772893,0.5205565293629965,0.7051282051282052,0.000996057350657239,tiny_cnn,13
9,0.5216981777341374,0.7472527472527473,0.47446118944730514,0.8076923076923077,0.0009950118288582787,tiny_cnn,13
10,0.5086766043643811,0.7197802197802198,0.5032133345420544,0.8333333333333334,0.0009938441702975688,tiny_cnn,13
11,0.4775175231717008,0.7893772893772893,0.473739654589922,0.7435897435897436,0.000992554663077387,tiny_cnn,13
12,0.4637455757939335,0.7875457875457875,0.4721196607137338,0.8076923076923077,0.0009911436253643444,tiny_cnn,13
13,0.4503065272346958,0.8040293040293041,0.4720118382038214,0.6794871794871795,0.0009896114053108828,tiny_cnn,13
14,0.4453645226282951,0.7875457875457875,0.45023674689806426,0.8461538461538461,0.0009879583809693736,tiny_cnn,13
15,0.4432613024344811,0.7765567765567766,0.5209233386394305,0.8589743589743589,0.0009861849601988382,tiny_cnn,13
16,0.4488948160038763,0.7710622710622711,0.4511970656040387,0.8333333333333334,0.0009842915805643154,tiny_cnn,13
17,0.4465627066600017,0.8498168498168498,0.4426426406090076,0.8076923076923077,0.000982278709228899,tiny_cnn,13
18,0.3890542345387595,0.8205128205128205,0.5057811576586503,0.8461538461538461,0.0009801468428384714,tiny_cnn,13
19,0.38967872648448737,0.8333333333333334,0.459230037071766,0.8333333333333334,0.0009778965073991648,tiny_cnn,13
20,0.38942776178265665,0.8534798534798534,0.40589780455980545,0.7564102564102564,0.0009755282581475766,tiny_cnn,13
21,0.37905698054002757,0.8553113553113553,0.38581332296897203,0.8333333333333334,0.0009730426794137723,tiny_cnn,13
22,0.3455540059687017,0.8717948717948718,0.3942465950281192,0.8461538461538461,0.0009704403844771124,tiny_cnn,13
23,0.3667765290309221,0.8461538461538461,0.4105752083735588,0.8205128205128205,0.0009677220154149334,tiny_cnn,13
24,0.32149140504035323,0.8681318681318682,0.458293711909881,0.8846153846153846,0.0009648882429441253,tiny_cnn,13
25,0.38022952813368577,0.8388278388278388,0.5029184375053797,0.8846153846153846,0.000961939766255643,tiny_cnn,13
26,0.38159165725166544,0.8663003663003663,0.41416265567143756,0.8589743589743589,0.0009588773128419901,tiny_cnn,13
27,0.3467438941473489,0.8736263736263736,0.4165608680401093,0.8589743589743589,0.0009557016383177221,tiny_cnn,13
28,0.29830049442284273,0.8791208791208791,0.42935034059561217,0.8846153846153846,0.0009524135262330093,tiny_cnn,13
29,0.3151912205057703,0.8772893772893773,0.3859027616488628,0.7692307692307693,0.0009490137878803073,tiny_cnn,13
30,0.30100510386756923,0.9010989010989011,0.35225842090753406,0.8333333333333334,0.0009455032620941834,tiny_cnn,13
31,0.27483281842518203,0.8974358974358975,0.40288896018113846,0.8461538461538461,0.0009418828150443463,tiny_cnn,13
32,0.2662463524948546,0.8992673992673993,0.4108875546699915,0.8717948717948718,0.0009381533400219311,tiny_cnn,13
33,0.27641276191005776,0.8882783882783882,0.46292580320284915,0.8589743589743589,0.0009343157572190951,tiny_cnn,13
34,0.2794406629089034,0.8974358974358975,0.3603283778215066,0.8461538461538461,0.0009303710135019713,tiny_cnn,13
35,0.2548290190897582,0.8827838827838828,0.40193798679571885,0.8461538461538461,0.0009263200821770456,tiny_cnn,13
36,0.22965943387576512,0.9340659340659341,0.4069115962737646,0.8717948717948718,0.000922163962751007,tiny_cnn,13
37,0.2514031406614807,0.8992673992673993,0.4865771845365182,0.8461538461538461,0.0009179036806841347,tiny_cnn,13
38,0.22917876073292323,0.9139194139194139,0.48945708878529376,0.8846153846153846,0.0009135402871372803,tiny_cnn,13
39,0.22138528531287616,0.924908424908425,0.412159311847809,0.8846153846153846,0.0009090748587125112,tiny_cnn,13
40,0.24833473912525528,0.9029304029304029,0.34126850198476744,0.8717948717948718,0.0009045084971874732,tiny_cnn,13
