accuracy,balanced_accuracy,roc_auc,average_precision,precision,recall_sensitivity,specificity,npv,f1,brier_score,ece_10_bins,threshold,tn,fp,fn,tp
0.7307692307692307,0.5,0.9093567251461988,0.9509640661693891,0.7307692307692307,1.0,0.0,0.0,0.8444444444444444,0.13653216524976836,0.13445140084420415,0.0,0,42,0,114
0.7756410256410257,0.5833333333333334,0.9093567251461988,0.9509640661693891,0.7651006711409396,1.0,0.16666666666666666,1.0,0.8669201520912547,0.13653216524976836,0.13445140084420415,0.01,7,35,0,114
0.8205128205128205,0.681704260651629,0.9093567251461988,0.9509640661693891,0.8115942028985508,0.9824561403508771,0.38095238095238093,0.8888888888888888,0.8888888888888888,0.13653216524976836,0.13445140084420415,0.02,16,26,2,112
0.8205128205128205,0.6967418546365914,0.9093567251461988,0.9509640661693891,0.8208955223880597,0.9649122807017544,0.42857142857142855,0.8181818181818182,0.8870967741935484,0.13653216524976836,0.13445140084420415,0.03,18,24,4,110
0.8525641025641025,0.7562656641604011,0.9093567251461988,0.9509640661693891,0.8527131782945736,0.9649122807017544,0.5476190476190477,0.8518518518518519,0.9053497942386831,0.13653216524976836,0.13445140084420415,0.04,23,19,4,110
0.8589743589743589,0.7756892230576441,0.9093567251461988,0.9509640661693891,0.8650793650793651,0.956140350877193,0.5952380952380952,0.8333333333333334,0.9083333333333333,0.13653216524976836,0.13445140084420415,0.05,25,17,5,109
0.8653846153846154,0.7875939849624061,0.9093567251461988,0.9509640661693891,0.872,0.956140350877193,0.6190476190476191,0.8387096774193549,0.9121338912133892,0.13653216524976836,0.13445140084420415,0.06,26,16,5,109
0.8782051282051282,0.818922305764411,0.9093567251461988,0.9509640661693891,0.8925619834710744,0.9473684210526315,0.6904761904761905,0.8285714285714286,0.9191489361702128,0.13653216524976836,0.13445140084420415,0.07,29,13,6,108
0.8974358974358975,0.8546365914786966,0.9093567251461988,0.9509640661693891,0.9152542372881356,0.9473684210526315,0.7619047619047619,0.8421052631578947,0.9310344827586207,0.13653216524976836,0.13445140084420415,0.08,32,10,6,108
0.8846153846153846,0.8458646616541353,0.9093567251461988,0.9509640661693891,0.9137931034482759,0.9298245614035088,0.7619047619047619,0.8,0.9217391304347826,0.13653216524976836,0.13445140084420415,0.09,32,10,8,106
0.8846153846153846,0.8458646616541353,0.9093567251461988,0.9509640661693891,0.9137931034482759,0.9298245614035088,0.7619047619047619,0.8,0.9217391304347826,0.13653216524976836,0.13445140084420415,0.1,32,10,8,106
