epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,model,seed
1,0.6381006636025705,0.652014652014652,0.7583516010871301,0.2692307692307692,0.0009999383162408303,enhanced_cnn,101
2,0.5677908412266127,0.652014652014652,0.8560789915231558,0.2692307692307692,0.0009997532801828658,enhanced_cnn,101
3,0.5623820908777006,0.6996336996336996,0.7370375715769254,0.2948717948717949,0.0009994449374809851,enhanced_cnn,101
4,0.5280474800984938,0.7216117216117216,0.6302214799783169,0.48717948717948717,0.0009990133642141358,enhanced_cnn,101
5,0.5152609994559935,0.7106227106227107,0.5852540051325773,0.6282051282051282,0.000998458666866564,enhanced_cnn,101
6,0.5077875060039562,0.7490842490842491,0.48449066281318665,0.7692307692307693,0.00099778098230154,enhanced_cnn,101
7,0.5047607073635408,0.7692307692307693,0.6278348717934046,0.8076923076923077,0.0009969804777275899,enhanced_cnn,101
8,0.4803763041784475,0.7728937728937729,0.48246791653144055,0.717948717948718,0.000996057350657239,enhanced_cnn,101
9,0.4816898919723846,0.7728937728937729,0.43373770667956424,0.7692307692307693,0.0009950118288582787,enhanced_cnn,101
10,0.45358846279291004,0.7637362637362637,0.46925684121938854,0.7307692307692307,0.0009938441702975688,enhanced_cnn,101
11,0.44026412118922226,0.7765567765567766,0.4153667898514332,0.7564102564102564,0.000992554663077387,enhanced_cnn,101
12,0.4243788412420741,0.7985347985347986,0.4486210747407033,0.8333333333333334,0.0009911436253643444,enhanced_cnn,101
13,0.4383135315699455,0.7728937728937729,0.4510160531753149,0.8205128205128205,0.0009896114053108828,enhanced_cnn,101
14,0.3889323586509341,0.8113553113553114,0.5173405477633843,0.6025641025641025,0.0009879583809693736,enhanced_cnn,101
15,0.3882461476238656,0.8223443223443223,0.4637923240661621,0.8461538461538461,0.0009861849601988382,enhanced_cnn,101
16,0.39217427580347863,0.8095238095238095,0.482057131253756,0.8333333333333334,0.0009842915805643154,enhanced_cnn,101
17,0.36550372402309933,0.8296703296703297,0.4578493176362453,0.8076923076923077,0.000982278709228899,enhanced_cnn,101
18,0.3665995805254786,0.8315018315018315,0.41531885549043995,0.8589743589743589,0.0009801468428384714,enhanced_cnn,101
19,0.34095880531129386,0.847985347985348,0.3340408760003554,0.8589743589743589,0.0009778965073991648,enhanced_cnn,101
20,0.35803120400442745,0.8186813186813187,0.42913564046223956,0.7435897435897436,0.0009755282581475766,enhanced_cnn,101
21,0.3342488700653607,0.8589743589743589,0.40529937927539533,0.7948717948717948,0.0009730426794137723,enhanced_cnn,101
22,0.33470968711070526,0.836996336996337,0.4417571803698173,0.8461538461538461,0.0009704403844771124,enhanced_cnn,101
23,0.32140268008787554,0.8406593406593407,0.6689702295340024,0.8589743589743589,0.0009677220154149334,enhanced_cnn,101
24,0.30783825370418283,0.8589743589743589,0.3677629958360623,0.8076923076923077,0.0009648882429441253,enhanced_cnn,101
25,0.28216386692864553,0.891941391941392,0.4665220914742885,0.8717948717948718,0.000961939766255643,enhanced_cnn,101
26,0.28878349786276347,0.8626373626373627,0.36088290848793125,0.8461538461538461,0.0009588773128419901,enhanced_cnn,101
27,0.2641778893959828,0.8864468864468864,0.4979966164399416,0.8461538461538461,0.0009557016383177221,enhanced_cnn,101
28,0.24811701263700212,0.9010989010989011,0.32278767954080534,0.8717948717948718,0.0009524135262330093,enhanced_cnn,101
29,0.2931447668826624,0.8589743589743589,0.41807177318976474,0.7692307692307693,0.0009490137878803073,enhanced_cnn,101
30,0.27439146284218674,0.8882783882783882,0.5718298669044788,0.6923076923076923,0.0009455032620941834,enhanced_cnn,101
31,0.2730708807815999,0.8772893772893773,0.5708852670131586,0.8846153846153846,0.0009418828150443463,enhanced_cnn,101
32,0.2446833657912719,0.8846153846153846,0.5644467125336329,0.8589743589743589,0.0009381533400219311,enhanced_cnn,101
33,0.27697803172873053,0.8846153846153846,0.3817928345539631,0.8461538461538461,0.0009343157572190951,enhanced_cnn,101
34,0.22830837899511988,0.9084249084249084,0.4329729003783984,0.8076923076923077,0.0009303710135019713,enhanced_cnn,101
35,0.19798478675194275,0.9395604395604396,0.334050538448187,0.8461538461538461,0.0009263200821770456,enhanced_cnn,101
36,0.18858992518522802,0.9285714285714286,0.41832704345385235,0.8461538461538461,0.000922163962751007,enhanced_cnn,101
37,0.1833432546028724,0.924908424908425,0.3964988675255042,0.9230769230769231,0.0009179036806841347,enhanced_cnn,101
38,0.1704400311677884,0.945054945054945,0.4525951032455151,0.8974358974358975,0.0009135402871372803,enhanced_cnn,101
39,0.2057285581752931,0.9157509157509157,0.35015124330917996,0.9102564102564102,0.0009090748587125112,enhanced_cnn,101
40,0.21055246291907279,0.9139194139194139,0.7304294869685785,0.8974358974358975,0.0009045084971874732,enhanced_cnn,101
41,0.19548394844863878,0.9194139194139194,0.3690337034372183,0.8974358974358975,0.0008998423292435448,enhanced_cnn,101
42,0.18040234871181376,0.9175824175824175,0.4629612672023284,0.7948717948717948,0.0008950775061878446,enhanced_cnn,101
43,0.16795311106757804,0.9322344322344323,0.2982806194669161,0.9102564102564102,0.0008902152036691643,enhanced_cnn,101
44,0.22217200813821822,0.9267399267399268,0.3883060981065799,0.8205128205128205,0.000885256621387894,enhanced_cnn,101
45,0.18244789450705706,0.9212454212454212,0.6261985118572528,0.8846153846153846,0.0008802029828000149,enhanced_cnn,101
