epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,model,seed
1,0.6360207416199066,0.5347985347985348,0.6980565068049308,0.2692307692307692,0.0009999383162408303,residual_cnn,101
2,0.5813748358370183,0.7032967032967034,0.7273164131702521,0.2692307692307692,0.0009997532801828658,residual_cnn,101
3,0.5238678625651768,0.7509157509157509,0.6614140104024838,0.34615384615384615,0.0009994449374809851,residual_cnn,101
4,0.4848567295423794,0.7472527472527473,0.6372990684631543,0.5769230769230769,0.0009990133642141358,residual_cnn,101
5,0.46406991621513505,0.7967032967032966,0.4573459984400334,0.8333333333333334,0.000998458666866564,residual_cnn,101
6,0.4547676970233847,0.7857142857142857,0.481724073107426,0.7564102564102564,0.00099778098230154,residual_cnn,101
7,0.4328154743591071,0.8021978021978022,0.5442302142962431,0.8205128205128205,0.0009969804777275899,residual_cnn,101
8,0.41581031931188955,0.8095238095238095,0.5717803820585593,0.5897435897435898,0.000996057350657239,residual_cnn,101
9,0.4125372183410239,0.782051282051282,0.4812957789653387,0.7307692307692307,0.0009950118288582787,residual_cnn,101
10,0.4062484165469369,0.8186813186813187,0.37529320327135235,0.8333333333333334,0.0009938441702975688,residual_cnn,101
11,0.36385201458092575,0.8534798534798534,0.4987871914337843,0.6794871794871795,0.000992554663077387,residual_cnn,101
12,0.3534254543073885,0.8424908424908425,0.4796877388770764,0.7564102564102564,0.0009911436253643444,residual_cnn,101
13,0.3438662309131343,0.8443223443223443,0.40688374180060166,0.7564102564102564,0.0009896114053108828,residual_cnn,101
14,0.3088737802627759,0.8736263736263736,0.6861896667725,0.5512820512820513,0.0009879583809693736,residual_cnn,101
15,0.30094466224694866,0.8681318681318682,0.850989336386705,0.8717948717948718,0.0009861849601988382,residual_cnn,101
16,0.32973507095824234,0.8589743589743589,1.0723904585226989,0.7948717948717948,0.0009842915805643154,residual_cnn,101
17,0.35902143660045804,0.8443223443223443,0.4201644139412122,0.8461538461538461,0.000982278709228899,residual_cnn,101
18,0.3095837598973578,0.8644688644688645,0.35158815597876525,0.8076923076923077,0.0009801468428384714,residual_cnn,101
19,0.2545794203822866,0.9065934065934066,0.33497256881151444,0.8589743589743589,0.0009778965073991648,residual_cnn,101
20,0.2206765795365358,0.9139194139194139,0.44096193519922405,0.8717948717948718,0.0009755282581475766,residual_cnn,101
21,0.2752642557297871,0.8956043956043956,0.44386536876360577,0.8589743589743589,0.0009730426794137723,residual_cnn,101
22,0.23074587000595345,0.8992673992673993,0.38154389842962605,0.7435897435897436,0.0009704403844771124,residual_cnn,101
